plats,namn,parti,valkrets
101,Ann-Sofie Alm,Moderaterna,Västra Götalands läns norra
177,Alexandra Anstrell,Moderaterna,Stockholms län
111,Kristina Axén Olin,Moderaterna,Stockholms kommun
48,Lars Beckman,Moderaterna,Gävleborgs län
45,Sten Bergheden,Moderaterna,Västra Götalands läns östra
275,Jörgen Berglund,Moderaterna,Västernorrlands län
8,Tobias Billström,Moderaterna,Stockholms län
46,Carl-Oskar Bohlin,Moderaterna,Dalarnas län
10,Helena Bouveng,Moderaterna,Jönköpings län
221,Camilla Brunsberg,Moderaterna,Blekinge län
5,Margareta Cederfelt,Moderaterna,Stockholms kommun
273,Mikael Damsgaard,Moderaterna,Västmanlands län
112,Ida Drougge,Moderaterna,Stockholms län
328,Lars Engsund,Moderaterna,Kalmar län
6,Karin Enström,Moderaterna,Stockholms län
160,Jan Ericson,Moderaterna,Västra Götalands läns södra
25,Johan Forssell,Moderaterna,Stockholms kommun
60,Mats Green,Moderaterna,Jönköpings län
265,Gustaf Göthberg,Moderaterna,Göteborgs kommun
186,Ann-Charlotte Hammar Johnsson,Moderaterna,Skåne läns västra
259,Ulrika Heindorff,Moderaterna,Skåne läns västra
19,Johan Hultberg,Moderaterna,Västra Götalands läns norra
99,Marie-Louise Hänel Sandström,Moderaterna,Göteborgs kommun
104,Malin Höglund,Moderaterna,Dalarnas län
309,Caroline Högström,Moderaterna,Västmanlands län
211,Kjell Jansson,Moderaterna,Stockholms län
233,Pål Jonson,Moderaterna,Värmlands län
128,David Josefsson,Moderaterna,Göteborgs kommun
298,Ellen Juntti,Moderaterna,Västra Götalands läns västra
172,Arin Karapet,Moderaterna,Stockholms kommun
139,Mattias Karlsson i Luleå,Moderaterna,Norrbottens län
30,Ulf Kristersson,Moderaterna,Södermanlands län
314,Fredrik Kärrholm,Moderaterna,Stockholms kommun
59,Ann-Sofie Lifvenhage,Moderaterna,Södermanlands län
269,Marléne Lund Kopparklint,Moderaterna,Värmlands län
65,Maria Malmer Stenergard,Moderaterna,Skåne läns norra och östra
246,Josefin Malmqvist,Moderaterna,Stockholms län
63,Noria Manouchi,Moderaterna,Malmö kommun
225,Louise Meijer,Moderaterna,Skåne läns södra
329,Marie Nicholson,Moderaterna,Kalmar län
231,Ulrik Nilsson,Moderaterna,Västra Götalands läns södra
132,Charlotte Nordström,Moderaterna,Västra Götalands läns östra
89,Andreas Norlén,Moderaterna,Östergötlands län
93,Peter Ollén,Moderaterna,Malmö kommun
322,Stefan Olsson,Moderaterna,Uppsala län
174,Erik Ottoson,Moderaterna,Stockholms län
127,Lars Püss,Moderaterna,Hallands län
202,Saila Quicklund,Moderaterna,Jämtlands län
290,Thomas Ragnarsson,Moderaterna,Kronobergs län
337,Johanna Rantsi,Moderaterna,Västra Götalands läns västra
241,Edward Riedl,Moderaterna,Västerbottens län
26,Jessica Rosencrantz,Moderaterna,Stockholms kommun
291,Oliver Rosengren,Moderaterna,Kronobergs län
146,Jessika Roswall,Moderaterna,Uppsala län
12,Jesper Skalberg Karlsson,Moderaterna,Gotlands län
332,Christian Sonesson,Moderaterna,Skåne läns södra
52,Maria Stockhaus,Moderaterna,Stockholms län
157,Helena Storckenfeldt,Moderaterna,Hallands län
234,Elisabeth Svantesson,Moderaterna,Örebro län
343,Oskar Svärd,Moderaterna,Örebro län
248,Magdalena Thuresson,Moderaterna,Stockholms län
15,Hans Wallmark,Moderaterna,Skåne läns norra och östra
299,Camilla Waltersson Grönvall,Moderaterna,Västra Götalands läns västra
325,John E. Weinerhall,Moderaterna,Östergötlands län
252,John Widegren,Moderaterna,Östergötlands län
82,Niklas Wykman,Moderaterna,Stockholms län
77,Viktor Wärnick,Moderaterna,Gävleborgs län
125,Boriana Åberg,Moderaterna,Skåne läns södra
212,Alireza Akhondi,Centerpartiet,Stockholms län
226,Christofer Bergenblock,Centerpartiet,Hallands län
209,Malin Björk,Centerpartiet,Stockholms kommun
163,Daniel Bäckström,Centerpartiet,Värmlands län
331,Jonny Cato,Centerpartiet,Skåne läns västra
326,Muharrem Demirok,Centerpartiet,Östergötlands län
251,Catarina Deremar,Centerpartiet,Uppsala län
44,Ulrika Heie,Centerpartiet,Västra Götalands läns östra
58,Martina Johansson,Centerpartiet,Södermanlands län
23,Anders W. Jonsson,Centerpartiet,Gävleborgs län
230,Mikael Larsson,Centerpartiet,Västra Götalands läns södra
260,Stina Larsson,Centerpartiet,Skåne läns södra
285,Anna Lasses,Centerpartiet,Stockholms län
134,Ulrika Liljeberg,Centerpartiet,Dalarnas län
240,Helena Lindahl,Centerpartiet,Västerbottens län
3,Kerstin Lundgren,Centerpartiet,Stockholms län
33,Annie Lööf,Centerpartiet,Jönköpings län
40,Rickard Nordin,Centerpartiet,Göteborgs kommun
62,Niels Paarup-Petersen,Centerpartiet,Malmö kommun
311,Anne-Li Sjölund,Centerpartiet,Västernorrlands län
278,Elisabeth Thand Ringqvist,Centerpartiet,Stockholms kommun
235,Helena Vilhelmsson,Centerpartiet,Örebro län
338,Anders Ådahl,Centerpartiet,Västra Götalands läns västra
140,Martin Ådahl,Centerpartiet,Stockholms kommun
175,Gulan Avci,Liberalerna,Stockholms län
253,Juno Blom,Liberalerna,Östergötlands län
207,Malin Danielsson,Liberalerna,Stockholms kommun
122,Louise Eklund,Liberalerna,Malmö kommun
206,Joar Forssell,Liberalerna,Stockholms kommun
301,Helena Gellerman,Liberalerna,Västra Götalands läns västra
69,Robert Hannah,Liberalerna,Göteborgs kommun
27,Fredrik Malm,Liberalerna,Stockholms län
215,Lina Nordquist,Liberalerna,Uppsala län
151,Jakob Olofsgård,Liberalerna,Jönköpings län
198,Johan Pehrson,Liberalerna,Örebro län
154,Mats Persson,Liberalerna,Skåne läns södra
316,Romina Pourmokhtari,Liberalerna,Stockholms kommun
258,Mauricio Rojas,Liberalerna,Skåne läns västra
227,Cecilia Rönn,Liberalerna,Hallands län
283,Anna Starbrink,Liberalerna,Stockholms län
91,Acko Ankarberg Johansson,Kristdemokraterna,Jönköpings län
107,Lili André,Kristdemokraterna,Gävleborgs län
165,Mathias Bengtsson,Kristdemokraterna,Dalarnas län
193,Magnus Berntsson,Kristdemokraterna,Göteborgs kommun
170,Camilla Brodin,Kristdemokraterna,Stockholms kommun
293,Gudrun Brunegård,Kristdemokraterna,Kalmar län
102,Ebba Busch,Kristdemokraterna,Västra Götalands läns östra
249,Christian Carlsson,Kristdemokraterna,Stockholms län
270,Hans Eklind,Kristdemokraterna,Örebro län
95,Torsten Elofsson,Kristdemokraterna,Skåne läns norra och östra
261,Cecilia Engström,Kristdemokraterna,Skåne läns södra
29,Jakob Forssmed,Kristdemokraterna,Stockholms län
71,Magnus Jacobsson,Kristdemokraterna,Västra Götalands läns norra
195,Ingemar Kihlström,Kristdemokraterna,Västra Götalands läns södra
148,Magnus Oscarsson,Kristdemokraterna,Östergötlands län
116,Mikael Oscarsson,Kristdemokraterna,Uppsala län
304,Kjell-Arne Ottosson,Kristdemokraterna,Värmlands län
126,Larry Söder,Kristdemokraterna,Hallands län
264,Roland Utbult,Kristdemokraterna,Västra Götalands läns västra
86,Sofia Amloh,Socialdemokraterna,Södermanlands län
118,Johan Andersson,Socialdemokraterna,Östergötlands län
53,Magdalena Andersson,Socialdemokraterna,Stockholms län
166,Sanna Backeskog,Socialdemokraterna,Gävleborgs län
271,Denis Begic,Socialdemokraterna,Örebro län
263,Aida Birinxhiku,Socialdemokraterna,Hallands län
21,Patrik Björck,Socialdemokraterna,Västra Götalands läns östra
346,Peder Björk,Socialdemokraterna,Västernorrlands län
184,Heléne Björklund,Socialdemokraterna,Blekinge län
223,Yasmine Bladelius,Socialdemokraterna,Skåne läns västra
68,Johan Büser,Socialdemokraterna,Göteborgs kommun
17,Gunilla Carlsson,Socialdemokraterna,Göteborgs kommun
92,Rose-Marie Carlsson,Socialdemokraterna,Malmö kommun
181,Teresa Carvalho,Socialdemokraterna,Östergötlands län
228,Dženan Čišija,Socialdemokraterna,Göteborgs kommun
197,Mikael Dahlqvist,Socialdemokraterna,Värmlands län
7,Mikael Damberg,Socialdemokraterna,Stockholms län
182,Ilan De Basso,Socialdemokraterna,Jönköpings län
97,Adnan Dibrani,Socialdemokraterna,Hallands län
32,Hans Ekström,Socialdemokraterna,Södermanlands län
35,Jamal El-Haj,Socialdemokraterna,Malmö kommun
218,Tomas Eneroth,Socialdemokraterna,Kronobergs län
75,Sofie Eriksson,Socialdemokraterna,Dalarnas län
236,Åsa Eriksson,Socialdemokraterna,Västmanlands län
199,Matilda Ernkrans,Socialdemokraterna,Örebro län
72,Erik Ezelius,Socialdemokraterna,Västra Götalands läns östra
