Card Name,Rarity,Market Price
Air Elemental,Uncommon,0.27
Aladdin's Lamp,Rare,0.81
Aladdin's Ring,Rare,0.67
Animate Artifact,Uncommon,0.21
Animate Dead,Uncommon,4.50
Animate Wall,Rare,0.66
Ankh of Mishra,Rare,9.03
Armageddon,Rare,11.37
Armageddon Clock,Rare,0.74
Aspect of Wolf,Rare,1.96
Atog,Common,0.17
Bad Moon,Rare,6.94
Badlands,Rare,405.48
Balance,Rare,4.46
Basalt Monolith,Uncommon,4.11
Bayou,Rare,396.21
Benalish Hero,Common,0.14
Birds of Paradise,Rare,12.79
Black Knight,Uncommon,1.97
Black Vise,Uncommon,1.04
Black Ward,Uncommon,0.27
Blessing,Rare,1.72
Blue Elemental Blast,Common,0.53
Blue Ward,Uncommon,0.27
Bog Wraith,Uncommon,0.21
Bottle of Suleiman,Rare,0.71
Braingeyser,Rare,13.18
Brass Man,Uncommon,0.31
Burrowing,Uncommon,0.23
Castle,Uncommon,0.36
Celestial Prism,Uncommon,0.25
Channel,Uncommon,0.30
Chaoslace,Rare,0.46
Circle of Protection: Black,Common,0.16
Circle of Protection: Blue,Common,0.17
Circle of Protection: Green,Common,0.12
Circle of Protection: Red,Common,0.17
Circle of Protection: White,Common,0.14
Clockwork Beast,Rare,0.54
Clone,Uncommon,1.73
Cockatrice,Rare,1.56
Conservator,Uncommon,0.23
Contract from Below,Rare,1.97
Control Magic,Uncommon,0.83
Conversion,Uncommon,0.24
Copy Artifact,Rare,44.18
Counterspell,Uncommon,3.35
Craw Wurm,Common,0.19
Creature Bond,Common,0.12
Crumble,Uncommon,0.25
Crystal Rod,Uncommon,0.24
Cursed Land,Uncommon,0.32
Dancing Scimitar,Rare,0.95
Dark Ritual,Common,1.51
Darkpact,Rare,0.91
Death Ward,Common,0.12
Deathgrip,Uncommon,0.73
Deathlace,Rare,0.46
Demonic Attorney,Rare,1.18
Demonic Hordes,Rare,7.16
Demonic Tutor,Uncommon,40.84
Desert Twister,Uncommon,0.37
Dingus Egg,Rare,0.81
Disenchant,Common,0.34
Disintegrate,Common,0.28
Disrupting Scepter,Rare,0.87
Dragon Engine,Rare,0.61
